交易时间,APPID,商户号,子商户号,设备编号,Uline订单号,第三方订单号,商户订单号,用户标识,交易类型,业务类型,付款银行,货币种类,总金额,企业红包金额,Uline退款单号,商户退款单号,退款金额,企业红包退款金额,退款状态,商品名称,商户数据包,手续费,费率,扩展字段一,扩展字段二,扩展字段三,扩展字段四,扩展字段五,扩展字段六
2018-04-01 19:25:29.086825,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794077865232175104,4200000073201804010139070283,WX000000073086,odbfdwcjpwXkoBq6KrmJ9fc46Bfo,weixin.MICROPAY,交易,ABC_DEBIT,CNY,300000,0,,,,,,厦门市第二医院住院充值,无,0,0,300000,,,,,
2018-04-01 10:38:48.476476,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793547690408546304,4200000073201804019686461787,WX000000072763,odbfdwbgXhcyOFP0bSeZ7exF8SVI,weixin.NATIVE,交易,CFT,CNY,50000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,50000,,,,,
2018-04-01 09:33:22.229414,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793481820257259520,4200000073201804019697574434,WX000000072649,odbfdwdOf5EUOaVtElrPL6DUWU9Y,weixin.NATIVE,交易,CFT,CNY,10000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,10000,,,,,
2018-04-01 11:12:57.673326,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793582074775867392,4200000073201804019739905800,WX000000072789,odbfdwYSdB7z3uvQUoKoV0V2f2Qw,weixin.MICROPAY,交易,ICBC_DEBIT,CNY,10000,0,,,,,,厦门市第二医院门诊充值,无,0,0,10000,,,,,
2018-04-01 13:48:35.866965,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793738743674179584,4200000073201804019831962184,WX000000072871,odbfdwU6-OB1KyFKDEBltCDLchHA,weixin.MICROPAY,交易,CFT,CNY,159681,0,,,,,,厦门市第二医院住院充值,无,0,0,159681,,,,,
2018-04-01 20:56:12.670668,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794169193382678528,4200000074201804010232057919,WX000000073111,odbfdwYmSb8I_T-lIEAh8o5KtJhY,weixin.MICROPAY,交易,CMB_CREDIT,CNY,100,0,,,,,,厦门市第二医院门诊充值,无,0,0,100,,,,,
2018-04-01 23:35:59.839771,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810794330035864604672,4200000074201804010299369873,WX000000073169,odbfdwbIXkPzOukOF3bgkRYrSK1Y,weixin.NATIVE,交易,BOC_CREDIT,CNY,20000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
2018-04-01 09:58:00.798331,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793506625840877568,4200000074201804019621870588,WX000000072692,odbfdwaIvs4m_3Bq40oIzzyYb5WI,weixin.NATIVE,交易,CFT,CNY,10000,15,,,,,,厦门市第二医院门诊微信充值,无,0,0,10000,,,,,
2018-04-01 09:29:27.554740,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793477883466223616,4200000074201804019648246021,WX000000072644,odbfdwV86dHaRwo1Brv03DfFwu7U,weixin.NATIVE,交易,ABC_DEBIT,CNY,45000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,45000,,,,,
2018-04-01 10:50:52.633435,wxb68005e5db5d29ce,100006681810,77980861,,4100006681810793559841324535808,4200000074201804019662674711,WX000000072773,odbfdweYuG2zxhtTYIV5mfi2jGNI,weixin.NATIVE,交易,CFT,CNY,20000,0,,,,,,厦门市第二医院门诊微信充值,无,0,0,20000,,,,,
